award_value,organisation
797000,The University of Oxford
797000,The University of Oxford
198000,The University of Oxford
671000,The University of Oxford
610000,The University of Oxford
199000,The University of Oxford
39000,The University of Oxford
794000,The University of Oxford
3231000,The University of Oxford
197000,The University of Oxford
80000,The University of Oxford
199000,The University of Oxford
64000,The University of Oxford
345000,The University of Oxford
489000,The University of Oxford
199000,The University of Oxford
194000,The University of Oxford
189000,The University of Oxford
79000,The University of Oxford
24000,The University of Oxford
193000,The University of Oxford
652000,The University of Oxford
24000,The University of Oxford
78000,The University of Oxford
34000,The University of Oxford
79000,The University of Oxford
32000,The University of Oxford
81000,The University of Oxford
809000,The University of Oxford
81000,The University of Oxford
150000,The University of Oxford
687000,The University of Oxford
645000,The University of Oxford
645000,The University of Oxford
202000,The University of Oxford
823000,The University of Oxford
846000,The University of Oxford
816000,The University of Oxford
379000,The University of Oxford
545000,The University of Oxford
48000,The University of Oxford
808000,The University of Oxford
284000,The University of Oxford
284000,The University of Oxford
284000,The University of Oxford
284000,The University of Oxford
81000,The University of Oxford
113000,The University of Oxford
54000,The University of Portsmouth
24000,The University of Portsmouth
201000,The University of Reading
718000,The University of Reading
29000,The University of Reading
667000,The University of Reading
79000,The University of Reading
31000,The University of Reading
64000,The University of Reading
33000,The University of Reading
298000,The University of Reading
36000,The University of Reading
81000,The University of Reading
81000,The University of Reading
350000,The University of Reading
195000,The University of Reading
776000,The University of Reading
53000,The University of Reading
81000,The University of Reading
833000,The University of Reading
865000,The University of Reading
865000,The University of Reading
36000,The University of Reading
202000,The University of Reading
777000,The University of Reading
34000,The University of Reading
87000,The University of Reading
81000,The University of Reading
188000,The University of Salford
148000,The University of Salford
485000,The University of Sheffield
420000,The University of Sheffield
480000,The University of Sheffield
35000,The University of Sheffield
,The University of Sheffield
172000,The University of Sheffield
154000,The University of Sheffield
343000,The University of Sheffield
140000,The University of Sheffield
82000,The University of Sheffield
80000,The University of Sheffield
202000,The University of Sheffield
182000,The University of Sheffield
197000,The University of Sheffield
50000,The University of Sheffield
78000,The University of Sheffield
421000,The University of Sheffield
60000,The University of Sheffield
245000,The University of Sheffield
195000,The University of Sheffield
179000,The University of Sheffield
200000,The University of Sheffield
48000,The University of Sheffield
123000,The University of Sheffield
794000,The University of Sheffield
166000,The University of Sheffield
80000,The University of Southampton
362000,The University of Southampton
781000,The University of Southampton
177000,The University of Southampton
69000,The University of Southampton
665000,The University of Southampton
70000,The University of Southampton
78000,The University of Southampton
810000,The University of Southampton
77000,The University of Southampton
185000,The University of Southampton
36000,The University of Southampton
762000,The University of Southampton
463000,The University of Southampton
31000,The University of St Andrews
195000,The University of St Andrews
76000,The University of St Andrews
151000,The University of St Andrews
55000,The University of St Andrews
69000,The University of St Andrews
54000,The University of St Andrews
195000,The University of St Andrews
208000,The University of St Andrews
174000,The University of St Andrews
139000,The University of Stirling
39000,The University of Stirling
156000,The University of Stirling
83000,The University of Stirling
202000,The University of Stirling
413000,The University of Stirling
31000,The University of Stirling
31000,The University of Stirling
80000,The University of Stirling
614000,The University of Stirling
812000,The University of Stirling
60000,The University of Stirling
131000,The University of Strathclyde
660000,The University of Strathclyde
270000,The University of Strathclyde
411000,The University of Surrey
24000,The University of Surrey
446000,The University of Surrey
383000,The University of Surrey
563000,The University of Surrey
202000,The University of Surrey
415000,The University of Surrey
118000,The University of Surrey
60000,The University of Surrey
32000,The University of Surrey
199000,The University of Surrey
79000,The University of Surrey
54000,The University of Surrey
150000,The University of Sussex
190000,The University of Sussex
30000,The University of Sussex
77000,The University of Sussex
37000,The University of Sussex
787000,The University of Sussex
125000,The University of Sussex
35000,The University of Sussex
34000,The University of Sussex
22000,The University of Sussex
202000,The University of Sussex
174000,The University of Sussex
80000,The University of Sussex
60000,The University of Sussex
578000,The University of Sussex
24000,The University of Sussex
455000,The University of Sussex
84000,The University of Sussex
32000,The University of Sussex
138000,The University of Sussex
150000,The University of Sussex
730000,The University of Sussex
36000,The University of Sussex
406000,The University of Sussex
81000,The University of Sussex
36000,The University of Warwick
173000,The University of Warwick
200000,The University of Warwick
433000,The University of Warwick
718000,The University of Warwick
345000,The University of Warwick
696000,The University of Warwick
64000,The University of Warwick
269000,The University of Warwick
