fy_decision_date,ukri_council,grant_category,reference,organisation
2015-16,AHRC,Research and Innovation Grant,AH/N002989/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N003020/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N003020/1,Leiden University
2015-16,AHRC,Research and Innovation Grant,AH/N003047/1,The University of York
2015-16,AHRC,Fellowship,AH/N003055/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N00308X/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N00308X/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N00308X/1,University of Genoa
2015-16,AHRC,Research and Innovation Grant,AH/N00308X/1,Western Sydney University
2015-16,AHRC,Research and Innovation Grant,AH/N00311X/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N00311X/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N003128/1,The University of Essex
2015-16,AHRC,Research and Innovation Grant,AH/N003128/1,Edinburgh Napier University
2015-16,AHRC,Research and Innovation Grant,AH/N003128/1,The University of Essex
2015-16,AHRC,Research and Innovation Grant,AH/N003160/1,The University of Aberdeen
2015-16,AHRC,Research and Innovation Grant,AH/N003160/1,Cape Breton University
2015-16,AHRC,Research and Innovation Grant,AH/N003195/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N003195/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N003225/1,The University of Winchester
2015-16,AHRC,Research and Innovation Grant,AH/N003225/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N003241/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N003241/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N003241/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N003241/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N003241/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N003268/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N003284/1,Glasgow School of Art
2015-16,AHRC,Research and Innovation Grant,AH/N003284/1,Glasgow School of Art
2015-16,AHRC,Research and Innovation Grant,AH/N003284/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/N003330/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/N003330/1,The University of Huddersfield
2015-16,AHRC,Research and Innovation Grant,AH/N003357/1,The University of Westminster
2015-16,AHRC,Research and Innovation Grant,AH/N003357/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N003411/1,Birkbeck College
2015-16,AHRC,Research and Innovation Grant,AH/N00342X/1,The Robert Gordon University
2015-16,AHRC,Research and Innovation Grant,AH/N00342X/1,The Robert Gordon University
2015-16,AHRC,Research and Innovation Grant,AH/N003438/1,The University of Hull
2015-16,AHRC,Research and Innovation Grant,AH/N003446/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N003446/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N003462/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N003462/1,Victoria and Albert Museum
2015-16,AHRC,Research and Innovation Grant,AH/N003462/1,Victoria and Albert Museum
2015-16,AHRC,Research and Innovation Grant,AH/N003543/1,The University of Liverpool
2015-16,AHRC,Research and Innovation Grant,AH/N00356X/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N003578/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N003578/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N003578/1,The University of Stirling
2015-16,AHRC,Research and Innovation Grant,AH/N003594/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N003594/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N003624/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N003624/1,Trinity Laban
2015-16,AHRC,Research and Innovation Grant,AH/N003667/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N003667/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N003683/1,"University of the West of England, Bristol"
2015-16,AHRC,Research and Innovation Grant,AH/N003683/1,Bath Spa University
2015-16,AHRC,Research and Innovation Grant,AH/N003683/1,Bath Spa University
2015-16,AHRC,Research and Innovation Grant,AH/N003683/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N003683/1,"University of the West of England, Bristol"
2015-16,AHRC,Research and Innovation Grant,AH/N003691/1,Royal Conservatoire of Scotland
2015-16,AHRC,Research and Innovation Grant,AH/N003691/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N003691/1,The University of Huddersfield
2015-16,AHRC,Research and Innovation Grant,AH/N003713/1,Anglia Ruskin University
2015-16,AHRC,Research and Innovation Grant,AH/N003713/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N003721/1,Royal Holloway and Bedford New College
2015-16,AHRC,Research and Innovation Grant,AH/N003721/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N00373X/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N00373X/1,University of Miami
2015-16,AHRC,Research and Innovation Grant,AH/N003764/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N003764/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N003764/1,Swansea University
2015-16,AHRC,Research and Innovation Grant,AH/N003772/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N003772/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N003799/1,University of Northumbria at Newcastle
2015-16,AHRC,Research and Innovation Grant,AH/N003799/1,Royal College of Art
2015-16,AHRC,Research and Innovation Grant,AH/N003799/1,The University of Dundee
2015-16,AHRC,Research and Innovation Grant,AH/N003799/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N003799/1,Timebanking UK
2015-16,AHRC,Research and Innovation Grant,AH/N003802/1,The University of Brighton
2015-16,AHRC,Research and Innovation Grant,AH/N003802/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N003802/1,The University of Brighton
2015-16,AHRC,Research and Innovation Grant,AH/N003802/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N003802/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N003810/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N003810/1,Cardiff Metropolitan University
2015-16,AHRC,Research and Innovation Grant,AH/N003810/1,The Manchester Metropolitan University
2015-16,AHRC,Research and Innovation Grant,AH/N003829/1,The Manchester Metropolitan University
2015-16,AHRC,Research and Innovation Grant,AH/N003829/1,The Nottingham Trent University
2015-16,AHRC,Research and Innovation Grant,AH/N003829/1,The University of Sussex
2015-16,AHRC,Research and Innovation Grant,AH/N003845/1,Goldsmiths College
2015-16,AHRC,Research and Innovation Grant,AH/N003845/1,Goldsmiths College
2015-16,AHRC,Research and Innovation Grant,AH/N003845/1,Goldsmiths College
2015-16,AHRC,Research and Innovation Grant,AH/N003845/1,The University of Dundee
2015-16,AHRC,Research and Innovation Grant,AH/N003853/1,The University of Essex
2015-16,AHRC,Research and Innovation Grant,AH/N003853/1,Middlesex University
2015-16,AHRC,Fellowship,AH/N003888/1,The University of Kent
2015-16,AHRC,Research and Innovation Grant,AH/N003896/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N003896/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N003926/1,The University of Sheffield
2015-16,AHRC,Research and Innovation Grant,AH/N003926/1,Newcastle University
2015-16,AHRC,Research and Innovation Grant,AH/N003926/1,The University of York
2015-16,AHRC,Research and Innovation Grant,AH/N003934/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N003934/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N004000/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004000/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004043/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004094/1,Brunel University London
2015-16,AHRC,Research and Innovation Grant,AH/N004094/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N004094/1,Sheffield Hallam University
2015-16,AHRC,Research and Innovation Grant,AH/N004094/1,The University of Strathclyde
2015-16,AHRC,Research and Innovation Grant,AH/N004094/1,The University of Sussex
2015-16,AHRC,Research and Innovation Grant,AH/N004108/1,The University of Exeter
2015-16,AHRC,Research and Innovation Grant,AH/N004108/1,The Manchester Metropolitan University
2015-16,AHRC,Research and Innovation Grant,AH/N004108/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N004108/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N004108/1,"University of the West of England, Bristol"
2015-16,AHRC,Fellowship,AH/N004132/1,Royal Holloway and Bedford New College
2015-16,AHRC,Research and Innovation Grant,AH/N004221/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N004221/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N004221/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N004221/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N004264/1,University of Plymouth
2015-16,AHRC,Research and Innovation Grant,AH/N004264/1,University College London
2015-16,AHRC,Fellowship,AH/N004299/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N004302/1,National Maritime Museum
2015-16,AHRC,Research and Innovation Grant,AH/N004302/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N004353/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N004353/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004353/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N004396/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004396/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N00440X/1,The British Museum
2015-16,AHRC,Research and Innovation Grant,AH/N00440X/1,SOAS University of London
2015-16,AHRC,Research and Innovation Grant,AH/N00440X/1,The British Museum
2015-16,AHRC,Fellowship,AH/N004485/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of Durham
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N004647/1,University of London (Institutes and activities)
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,Queen Mary University of London
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,The Open University
2015-16,AHRC,Research and Innovation Grant,AH/N004655/1,The University of Westminster
2015-16,AHRC,Research and Innovation Grant,AH/N004663/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004663/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N004671/1,The University of Cambridge
